,uuid,nb_champs_renseignés
198,oai:search-data.ubfc.fr:FR-18008901306731-2022-04-01-02,17.0
199,oai:search-data.ubfc.fr:FR-18008901306731-2022-04-01-03,17.0
200,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-26-02,17.0
201,oai:search-data.ubfc.fr:FR-18008901306731-2016-12-14,17.0
202,oai:search-data.ubfc.fr:FR-18008901306731-2020-11-12-02,17.0
203,oai:search-data.ubfc.fr:FR-18008901306731-2016-03-23,15.0
204,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-12-02,17.0
205,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-27,16.0
206,oai:search-data.ubfc.fr:FR-18008901306731-2016-09-06,16.0
207,oai:search-data.ubfc.fr:FR-18008901306731-2017-12-05-05,17.0
208,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-23-06,17.0
209,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-23-02,16.0
210,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-23-05,17.0
211,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-23-04,17.0
212,oai:search-data.ubfc.fr:FR-18008901306731-2019-03-29,16.0
213,oai:search-data.ubfc.fr:FR-18008901306731-2021-07-21-02,17.0
214,oai:search-data.ubfc.fr:FR-18008901306731-2016-12-27-03,17.0
215,oai:search-data.ubfc.fr:FR-18008901306731-2020-03-23,17.0
216,oai:search-data.ubfc.fr:FR-18008901306731-2016-03-15,17.0
217,oai:search-data.ubfc.fr:FR-18008901306731-2016-03-11,16.0
218,oai:search-data.ubfc.fr:FR-18008901306731-2016-09-09-03,16.0
219,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-08-03,17.0
220,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-20-07,17.0
221,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-20-08,17.0
222,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-17-04,17.0
223,oai:search-data.ubfc.fr:FR-18008901306731-2015-07-06-20,17.0
224,oai:search-data.ubfc.fr:FR-18008901306731-2016-11-23,17.0
225,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-17-02,17.0
226,oai:search-data.ubfc.fr:FR-18008901306731-2021-07-21,17.0
227,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-24-03,17.0
228,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-24-05,17.0
229,oai:search-data.ubfc.fr:FR-18008901306731-2017-07-21-07,17.0
230,oai:search-data.ubfc.fr:FR-18008901306731-2020-08-28,17.0
