,Identifiant,Groupe,IN,Mention,Groupe_et_Mention
1108,50cd01a8-65e0-4281-a69a-6f60fab1f9ff,Aucun groupe,True,Aucune mention,pas d'infos
1109,50ce1228-75f6-40da-891f-5c8c28eac897,zaa,True,Zone Atelier Alpes,zaa
1110,50e6852d-658a-49b1-b8b3-32bb4d009bf8,Aucun groupe,True,OHM Bassin Minier de Provence,OHM Bassin Minier de Provence
1111,50eef03f-5314-409a-a5b8-4b50bed68363,Aucun groupe,True,Aucune mention,pas d'infos
1112,50f8ee05-7caa-4ea8-aad1-4ee9bf240cb4,Aucun groupe,True,ZABRI,ZABRI
1113,51145d8c-cf66-473b-ae2c-211764bf1a16,Aucun groupe,True,Aucune mention,pas d'infos
1114,51154bb1-c263-4157-8ee4-a4fbd5aef0df,zas,True,Aucune mention,zas
1115,51160ab0-15b2-462d-9ee1-80b82de400e0,Aucun groupe,True,Aucune mention,pas d'infos
1116,512e7cef-4e26-4548-a4f8-a5910cbe6936,zaar,True,ZAAr,zaar
1117,514398f7-0537-41d7-a0e5-e3fb8423b6cd,zabr,True,Aucune mention,zabr
1118,514c1940-2bcf-42c2-b108-962cf7409fd9,zabr,True,Aucune mention,zabr
1119,51824c86-ae0f-442f-9df2-e86244984ba3,InDoRES,True,Aucune mention,InDoRES
1120,518b3e0a-ee55-40cb-a3ed-da00e60505aa,Aucun groupe,True,Aucune mention,pas d'infos
1121,518d11a0-30d4-4c99-a45e-6b58ef135655,OHMi Téssékéré,True,Aucune mention,OHMi Téssékéré
1122,518e3f82-ffd0-4ef4-a8fa-b8b8882c0c7a,zal,True,Aucune mention,zal
1123,51925e41-a854-4a6a-bb2b-7d7099f9473d,zabr,True,Aucune mention,zabr
1124,51a31c9a-23a2-4366-8ae0-855090065f9b,DRIIHM,True,OHM Littoral Caraïbe,DRIIHM
1125,51a42be2-e418-47d5-8f9b-cf88d3653587,InDoRES,True,Aucune mention,InDoRES
1126,51aa91b8-9173-4e38-9ad6-6e5afcc77503,Aucun groupe,True,Aucune mention,pas d'infos
1127,51b2ba83-0a17-4809-934a-301798b9a831,zabr,True,Aucune mention,zabr
1128,51cd994e-cc5e-4fe6-8d37-514609d5b029,zas,True,Aucune mention,zas
1129,51d7633c-1b31-48a7-9e48-825b41809597,OHM Oyapock,True,OHM Oyapock,OHM Oyapock
1130,51e6ec82-e3e8-480b-9c0b-2aafbd9e3e4c,Aucun groupe,True,ZABRI,ZABRI
1131,5237bf85-7d6b-46aa-b454-e94076796cfc,InDoRES,True,Aucune mention,InDoRES
1132,523add61-e397-48ed-9eec-ba1510ee66dd,Aucun groupe,True,Aucune mention,pas d'infos
